Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
4,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
5,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
6,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
7,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
8,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
9,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
10,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
11,-1000.0,-249.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-892.7142857142857
12,-1000.0,-167.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-881.0
13,-1000.0,-164.0,-1000.0,-247.0,-1000.0,-1000.0,-1000.0,-773.0
14,-1000.0,-268.0,-1000.0,-455.0,-1000.0,-1000.0,-1000.0,-817.5714285714286
15,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-706.0,-1000.0,-958.0
16,-1000.0,-170.0,-1000.0,-578.0,-1000.0,-1000.0,-1000.0,-821.1428571428571
17,-1000.0,-1000.0,-1000.0,-237.0,-1000.0,-1000.0,-1000.0,-891.0
18,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
19,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
20,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
21,-1000.0,-252.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-893.1428571428571
22,-1000.0,-1000.0,-277.0,-1000.0,-1000.0,-1000.0,-1000.0,-896.7142857142857
23,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
24,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
25,-160.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.0
26,-1000.0,-606.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-943.7142857142857
27,-245.0,-1000.0,-1000.0,-191.0,-661.0,-1000.0,-1000.0,-728.1428571428571
28,-122.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-874.5714285714286
29,-1000.0,-304.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-900.5714285714286
30,-594.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-942.0
31,-1000.0,-1000.0,-1000.0,-150.0,-1000.0,-1000.0,-1000.0,-878.5714285714286
32,-1000.0,-1000.0,-598.0,-1000.0,-1000.0,-1000.0,-1000.0,-942.5714285714286
33,-1000.0,-1000.0,-1000.0,-595.0,-1000.0,-1000.0,-1000.0,-942.1428571428571
34,-487.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-926.7142857142857
35,-1000.0,-1000.0,-1000.0,-161.0,-1000.0,-1000.0,-1000.0,-880.1428571428571
36,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
37,-1000.0,-1000.0,-1000.0,-399.0,-1000.0,-1000.0,-1000.0,-914.1428571428571
38,-977.0,-355.0,-176.0,-1000.0,-1000.0,-1000.0,-1000.0,-786.8571428571429
39,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
40,-175.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-882.1428571428571
41,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
42,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
43,-1000.0,-1000.0,-297.0,-1000.0,-1000.0,-1000.0,-1000.0,-899.5714285714286
44,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
45,-1000.0,-1000.0,-142.0,-1000.0,-1000.0,-1000.0,-1000.0,-877.4285714285714
46,-1000.0,-1000.0,-876.0,-128.0,-1000.0,-1000.0,-1000.0,-857.7142857142857
47,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
48,-1000.0,-1000.0,-1000.0,-122.0,-1000.0,-1000.0,-1000.0,-874.5714285714286
49,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
50,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
51,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
52,-1000.0,-154.0,-1000.0,-166.0,-1000.0,-1000.0,-1000.0,-760.0
53,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
54,-1000.0,-1000.0,-1000.0,-682.0,-1000.0,-1000.0,-1000.0,-954.5714285714286
