Epoch number,Episode reward seed_0,Episode reward seed_10,Episode reward seed_20,Episode reward seed_40,Episode reward seed_60,Episode reward seed_80,Episode reward seed_100,Episode reward
1,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
3,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
4,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
5,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
6,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
7,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
8,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
9,-1000.0,-876.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-982.2857142857143
10,-940.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-991.4285714285714
11,-1000.0,-310.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-901.4285714285714
12,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
13,-1000.0,-165.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.7142857142857
14,-1000.0,-233.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-890.4285714285714
15,-1000.0,-157.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-879.5714285714286
16,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
17,-1000.0,-167.0,-1000.0,-520.0,-1000.0,-324.0,-1000.0,-715.8571428571429
18,-1000.0,-160.0,-1000.0,-1000.0,-1000.0,-233.0,-1000.0,-770.4285714285714
19,-1000.0,-161.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.1428571428571
20,-1000.0,-259.0,-1000.0,-1000.0,-1000.0,-256.0,-1000.0,-787.8571428571429
21,-674.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-953.4285714285714
22,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
23,-139.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-877.0
24,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
25,-725.0,-184.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-844.1428571428571
26,-1000.0,-210.0,-1000.0,-1000.0,-1000.0,-538.0,-1000.0,-821.1428571428571
27,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
28,-1000.0,-584.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-940.5714285714286
29,-1000.0,-163.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-880.4285714285714
30,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
31,-1000.0,-1000.0,-1000.0,-352.0,-1000.0,-1000.0,-1000.0,-907.4285714285714
32,-405.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-915.0
33,-1000.0,-111.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-873.0
34,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
35,-1000.0,-182.0,-1000.0,-782.0,-1000.0,-1000.0,-1000.0,-852.0
36,-1000.0,-1000.0,-1000.0,-433.0,-1000.0,-1000.0,-1000.0,-919.0
37,-1000.0,-130.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-875.7142857142857
38,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
39,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
40,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
41,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
42,-796.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-970.8571428571429
43,-1000.0,-1000.0,-1000.0,-959.0,-1000.0,-1000.0,-1000.0,-994.1428571428571
44,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
45,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
46,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
47,-1000.0,-791.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-970.1428571428571
48,-1000.0,-1000.0,-1000.0,-832.0,-1000.0,-1000.0,-1000.0,-976.0
49,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
50,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
51,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
52,-1000.0,-329.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-904.1428571428571
53,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
54,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0
